#{"t_start": 1765252472.6392884, "env_id": "None"}
r,l,t
-58.5,86,14.375633
-59.1,92,14.422634
-63.3,134,14.493515
-58.8,89,14.544524
-55.8,59,14.57361
-62.2,123,14.645542
-56.5,66,14.683987
-58.9,90,14.736999
-55.3,54,14.774508
-58.1,82,14.822819
-56.1,62,14.866951
-60.8,109,14.926017
-61.9,120,14.993607
-59.8,99,15.061114
-60.6,107,15.116115
-60.3,104,15.175624
-54.7,48,15.200624
-56.9,70,15.236638
-55.3,54,15.263153
-55.5,56,15.303155
98.8,13,15.314165
-57.5,76,15.364801
-65.5,156,15.453307
-61.4,115,15.513307
-62.7,128,15.578816
-56.8,69,15.614815
-58.3,84,15.658055
-59.9,100,15.716054
-55.5,56,15.745062
-58.5,86,15.787455
-55.9,60,15.818455
-56.8,69,15.866972
-55.6,57,15.906965
-55.8,59,15.946967
-59.0,91,16.010508
97.5,26,16.031508
-59.1,92,16.094021
99.1,10,16.101021
-58.2,83,16.16053
-57.6,77,16.20053
-56.1,62,16.23955
-58.3,84,16.284049
-58.8,89,16.341971
97.6,25,16.361472
97.7,24,16.379469
-56.6,67,16.422468
-56.7,68,16.470979
-55.3,54,16.506978
-57.3,74,16.560486
97.6,25,16.577486
-59.5,96,16.637488
-63.1,132,16.708994
-57.2,73,16.75029
-62.3,124,16.81929
97.1,30,16.836296
-58.2,83,16.884801
-58.7,88,16.944804
-56.0,61,16.976834
-64.2,143,17.069345
-60.0,101,17.129345
98.1,20,17.140346
98.9,12,17.146347
-58.8,89,17.200876
-57.5,76,17.255384
-58.4,85,17.306891
-66.5,166,17.40253
-68.4,185,17.512031
93.2,69,17.552553
93.1,70,17.588554
-57.0,71,17.622557
-59.5,96,17.681083
96.7,34,17.707084
-56.7,68,17.745091
-57.4,75,17.786597
-57.4,75,17.826596
-60.0,101,17.898829
-59.1,92,17.963356
-57.7,78,18.007164
-57.3,74,18.046171
-62.0,121,18.111673
-63.3,134,18.191112
-61.9,120,18.258618
-58.5,86,18.320428
-62.4,125,18.406938
-72.9,230,18.542452
-62.8,129,18.631965
-75.9,260,18.802636
-58.6,87,18.856177
-66.1,162,18.945179
-55.3,54,18.975324
99.4,7,18.98032
-60.5,106,19.038322
96.8,33,19.055839
-73.9,240,19.187347
95.9,42,19.210346
-102.6,527,19.500314
-58.2,83,19.541325
75.5,246,19.676353
48.3,518,19.954993
98.6,15,19.969499
96.0,41,19.99251
97.2,29,20.010512
-56.8,69,20.047518
-68.2,183,20.15003
81.5,186,20.251053
96.8,33,20.266058
-145.2,953,20.791344
-113.4,635,21.130058
79.7,204,21.241569
30.9,692,21.643592
-60.0,101,21.702098
17.6,825,22.148262
97.8,23,22.16177
-167.6,1177,22.816124
84.7,154,22.903638
97.4,27,22.926641
90.7,94,22.98039
94.4,57,23.013388
87.3,128,23.085902
98.2,19,23.098901
97.3,28,23.115903
94.8,53,23.143902
73.1,270,23.292919
69.1,310,23.481101
87.2,129,23.553614
-79.7,298,23.72212
67.9,322,23.899158
71.4,287,24.070348
81.1,190,24.175855
85.4,147,24.258363
77.4,227,24.382735
93.5,66,24.427736
89.7,104,24.48878
16.1,840,24.957917
92.1,80,25.001424
95.6,45,25.030424
-60.9,110,25.09332
97.9,22,25.106475
74.0,261,25.254377
71.6,285,25.416911
90.1,100,25.47243
90.8,93,25.525421
89.5,106,25.585942
85.9,142,25.67245
96.3,38,25.695451
79.9,202,25.805964
